,cost,opt,ratio,time,V,E,R
322,44,44,1.0,0.00034211104502901435,14,43,2
323,57,54,1.0555555555555556,0.0003795429947786033,12,31,6
324,63,63,1.0,0.0004492439911700785,8,14,7
325,31,31,1.0,0.00021672394359484315,11,26,2
326,39,39,1.0,0.00026273803086951375,8,13,5
327,35,35,1.0,0.0006131699192337692,6,7,4
328,50,47,1.0638297872340425,0.0002635749988257885,8,13,3
329,44,44,1.0,0.00028725696029141545,6,8,4
330,28,28,1.0,0.0002383780083619058,4,3,3
331,62,62,1.0,0.0004735320108011365,10,21,5
332,45,45,1.0,0.00029055000049993396,5,5,4
333,58,58,1.0,0.00029976601945236325,10,22,5
334,40,40,1.0,0.00021034706151112914,7,12,3
335,56,56,1.0,0.00029928196454420686,7,12,6
336,44,44,1.0,0.000428316998295486,9,19,6
337,20,20,1.0,0.00026364997029304504,7,12,5
338,38,38,1.0,0.00021751096937805414,5,5,2
339,27,27,1.0,0.00031790899811312556,10,21,3
340,32,32,1.0,0.00029364106012508273,9,23,2
341,53,53,1.0,0.0003639369970187545,12,32,3
342,57,56,1.0178571428571428,0.00043624098179861903,12,31,6
343,44,43,1.0232558139534884,0.0003872439847327769,10,25,5
344,36,36,1.0,0.0002788389683701098,5,5,3
345,37,37,1.0,0.0003584380028769374,11,28,5
346,55,55,1.0,0.00044680899009108543,12,32,6
347,53,53,1.0,0.0003150979755446315,9,17,6
348,37,37,1.0,0.0002471549669280648,7,10,5
349,74,74,1.0,0.00036194099811837077,6,8,5
