,cost,opt,ratio,time,V,E,R
228,31,29,1.0689655172413792,0.00043313001515343785,14,91,4
229,25,25,1.0,0.0002250999677926302,7,21,4
230,51,50,1.02,0.0006181939970701933,16,120,7
231,52,50,1.04,0.0005478500388562679,11,55,7
232,28,28,1.0,0.00030590296955779195,16,120,4
233,54,52,1.0384615384615385,0.0005820419755764306,16,120,7
234,27,26,1.0384615384615385,0.00024378305533900857,17,136,3
235,11,11,1.0,0.00029734900454059243,18,153,3
236,52,52,1.0,0.0003435660037212074,6,15,7
237,41,39,1.0512820512820513,0.0005159149877727032,9,36,6
238,50,50,1.0,0.0003360019763931632,10,45,5
239,29,29,1.0,0.0004113769973628223,18,153,4
240,58,56,1.0357142857142858,0.0006691599846817553,14,91,7
241,54,52,1.0384615384615385,0.0005227650399319828,10,45,7
242,16,16,1.0,0.00026984699070453644,7,21,3
243,47,47,1.0,0.00029968301532790065,7,21,7
244,31,31,1.0,0.0003511409740895033,13,78,4
245,19,19,1.0,0.0003426140174269676,9,36,5
246,36,36,1.0,0.00032117695081979036,10,45,6
247,49,49,1.0,0.00028486299561336637,11,55,6
248,42,42,1.0,0.0004871190176345408,18,153,6
249,24,24,1.0,0.00020471395691856742,5,10,6
250,39,38,1.0263157894736843,0.00044408399844542146,19,171,6
251,28,28,1.0,0.00019816297572106123,6,15,5
252,42,41,1.024390243902439,0.0002870470052585006,10,45,5
253,57,56,1.0178571428571428,0.0006770289619453251,19,171,7
254,61,60,1.0166666666666666,0.0005750520504079759,13,78,7
255,25,24,1.0416666666666667,0.0003888989449478686,18,153,4
256,42,42,1.0,0.0003025470650754869,8,28,7
257,40,39,1.0256410256410255,0.00044935900950804353,10,45,5
258,22,22,1.0,0.00023882900131866336,9,36,3
259,24,22,1.0909090909090908,0.0002740990021266043,8,28,3
260,21,21,1.0,0.00024995097192004323,6,15,3
261,30,30,1.0,0.00020633096573874354,15,105,5
262,34,33,1.0303030303030303,0.00040795706445351243,20,190,5
263,16,16,1.0,0.0001729070208966732,7,21,3
264,28,28,1.0,0.00042442698031663895,15,105,6
265,47,46,1.0217391304347827,0.0006005740142427385,12,66,7
266,39,38,1.0263157894736843,0.0004088110290467739,16,120,5
267,59,59,1.0,0.0005095110391266644,12,66,7
268,30,30,1.0,0.0003034460241906345,9,36,5
269,41,41,1.0,0.00019039894687011838,5,10,5
270,30,27,1.1111111111111112,0.0003246620181016624,11,55,4
271,43,43,1.0,0.0003672140301205218,8,28,7
272,36,36,1.0,0.00039236992597579956,9,36,5
273,18,17,1.0588235294117647,0.00034031004179269075,17,136,3
274,39,38,1.0263157894736843,0.0003346370649524033,14,91,6
275,52,52,1.0,0.000521058973390609,8,28,7
276,48,46,1.0434782608695652,0.0006078919395804405,11,55,7
277,25,23,1.0869565217391304,0.00033826701110228896,17,136,3
278,39,39,1.0,0.0006116799777373672,14,91,7
279,40,40,1.0,0.000293022021651268,11,55,4
280,34,34,1.0,0.0005933810607530177,16,120,6
281,34,34,1.0,0.00029406696557998657,15,105,4
282,18,18,1.0,0.00024793704506009817,18,153,3
283,42,39,1.0769230769230769,0.0006992049748077989,16,120,6
284,35,33,1.0606060606060606,0.000534999999217689,16,120,5
285,22,22,1.0,0.0002772220177575946,14,91,5
286,47,47,1.0,0.00019331800285726786,8,28,5
287,40,40,1.0,0.0004460419877432287,11,55,7
288,30,30,1.0,0.00032377499155700207,10,45,4
289,57,57,1.0,0.0005930879851803184,6,15,5
290,36,36,1.0,0.0004028879920952022,10,45,7
